short_id	faixa	marca	classe	categoria	nome	numero	evidencias	praise	texto	pdf_id
011c	ambiguo	✗	criar_praise	Cifra	Dos altos céus		nome~	86379ef1	Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJHOXpJR0ZzZEc5eklHUERxWFZ6TDBOcFpuSmhMbkJrWmc9PS5wZGY=
011d	ambiguo	·	adicionar_material	Partitura	Dá-me Mais Fé		num	a4e88e4b	Adicione mais esse material como Choir	QXZ1bHNvcy8yMjIucGRm
011e	sem_louvor	·	criar_praise	Cifra	E o mesmo Deus da paz				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJTQnZJRzFsYzIxdklFUmxkWE1nWkdFZ2NHRjZMME5wWm5KaExuQmtaZz09LnBkZg==
011f	ambiguo	✓	adicionar_material	Cifra	E teu sangue (arranjo novo)		nome~+classe		adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJTQjBaWFVnYzJGdVozVmxJQ2hoY25KaGJtcHZJRzV2ZG04cEwwTnBabkpoTG5Ca1pnPT0ucGRm
0120	ambiguo	✓	adicionar_material	Cifra	E veio a mim		num+slug	704909ad	adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJTQjJaV2x2SUdFZ2JXbHRMME5wWm5KaExuQmtaZz09LnBkZg==
0121	media	✓	nao_levar	Partitura	Eis Marchamos Para Aquele Bom País (Acordai, Acordai)		nome~+kind-unico	4f4acc20	Não precisa levar	QXZ1bHNvcy8yODUucGRm
0125	ambiguo	✓	nao_levar	Cifra	Eis os milhões		num	f71de542	Não precisa levar	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXbHpJRzl6SUcxcGJHakR0V1Z6TDBOcFpuSmhMbkJrWmc9PS5wZGY=
0126	ambiguo	✓	nao_levar	Cifra	Eis que abro a porta		num+slug		Não precisa levar	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXbHpJSEYxWlNCaFluSnZJR0VnY0c5eWRHRXZRMmxtY21FdWNHUm0ucGRm
0127	alta	✓	(sem texto)	Partitura	Eis-me Aqui		nome+slug+classe+hash	ba0b296e		QXZ1bHNvcy8yOTIucGRm
0128	ambiguo	✓	criar_praise	Cifra	Eis-me aqui ao teu lado		nome~+classe		Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlJXbHpMVzFsSUdGeGRXa2dZVzhnZEdWMUlHeGhaRzh2UTJsbWNtRXVjR1JtLnBkZg==
